country;election_type;year;voter_turnout
Albania;Parliamentary;2021;0.463
Albania;Parliamentary;2017;0.468
Albania;Parliamentary;2013;0.533
Albania;Parliamentary;2009;0.508
Albania;Parliamentary;2005;0.487
Albania;Parliamentary;2001;0.550
Albania;Parliamentary;1997;0.726
Albania;Parliamentary;1996;0.891
Albania;Parliamentary;1992;0.915
Albania;Parliamentary;1991;0.989
Andorra;Parliamentary;2019;0.683
Andorra;Parliamentary;2015;0.656
Andorra;Parliamentary;2011;0.741
Andorra;Parliamentary;2009;0.753
Andorra;Parliamentary;2005;0.804
Andorra;Parliamentary;2001;0.816
Andorra;Parliamentary;1997;0.816
Andorra;Parliamentary;1993;0.809
Austria;Parliamentary;2019;0.756
Austria;Parliamentary;2017;0.800
Austria;Parliamentary;2013;0.749
Austria;Parliamentary;2008;0.788
Austria;Parliamentary;2006;0.785
Austria;Parliamentary;2002;0.843
Austria;Parliamentary;1999;0.804
Austria;Parliamentary;1995;0.860
Austria;Parliamentary;1994;0.825
Austria;Parliamentary;1990;0.861
Austria;Parliamentary;1986;0.905
Austria;Parliamentary;1983;0.926
Austria;Parliamentary;1979;0.922
Austria;Parliamentary;1975;0.929
Austria;Parliamentary;1971;0.924
Austria;Parliamentary;1970;0.918
Austria;Parliamentary;1966;0.938
Austria;Parliamentary;1962;0.938
Austria;Parliamentary;1959;0.942
Austria;Parliamentary;1956;0.960
Austria;Parliamentary;1953;0.958
Austria;Parliamentary;1949;0.968
Austria;Parliamentary;1945;0.943
Belarus;Parliamentary;2019;0.773
Belarus;Parliamentary;2016;0.747
Belarus;Parliamentary;2012;0.742
Belarus;Parliamentary;2008;0.767
Belarus;Parliamentary;2004;0.901
Belarus;Parliamentary;2000;0.611
Belarus;Parliamentary;1995;0.564
Belgium;Parliamentary;2019;0.884
Belgium;Parliamentary;2014;0.894
Belgium;Parliamentary;2010;0.892
Belgium;Parliamentary;2007;0.911
Belgium;Parliamentary;2003;0.916
Belgium;Parliamentary;1999;0.906
Belgium;Parliamentary;1995;0.912
Belgium;Parliamentary;1991;0.927
Belgium;Parliamentary;1987;0.934
Belgium;Parliamentary;1985;0.936
Belgium;Parliamentary;1981;0.946
Belgium;Parliamentary;1978;0.949
Belgium;Parliamentary;1977;0.951
Belgium;Parliamentary;1974;0.904
